TECHNICAL_SUB_ENTITY_ID,TECHNICAL_SUB_ENTITY_NAME_P1,TECHNICAL_SUB_ENTITY_NAME_R1,ACTIVITY_ENTITY_NAME_P1,ACTIVITY_ENTITY_NAME_R1,TECHNICAL_ENTITY_NAME_P1,TECHNICAL_ENTITY_NAME_R1,AE_Name_Match,TE_Name_Match,UNIQUE_FIELD_NAME,P1_Present,R1_Present,_AE_NAME_norm_P1,_TE_NAME_norm_P1,PMASTER_NAME,PROJECT_NAME,_AE_NAME_norm_R1,_TE_NAME_norm_R1
27552,Mero-2-DEV,Mero-2-DEV,Mero 2 DEV,Mero 2 DEV,Mero 2 DEV,Mero 2 DEV,✅,✅,Mero,✅,✅,mero 2 dev,mero 2 dev,Mero 2 DEV,Mero 2 DEV,mero 2 dev,mero 2 dev
27557,Mero-3-DEV,Mero-3-DEV,Mero 3 DEV,Mero 3 DEV,Mero 3 DEV,Mero 3 DEV,✅,✅,Mero,✅,✅,mero 3 dev,mero 3 dev,Mero 3 DEV,Mero 3 DEV,mero 3 dev,mero 3 dev
27566,Mero-4-DEV,Mero-4-DEV,Mero 4 DEV,Mero 4 DEV,Mero 4 DEV,Mero 4 DEV,✅,✅,Mero,✅,✅,mero 4 dev,mero 4 dev,Mero 4 DEV,Mero 4 DEV,mero 4 dev,mero 4 dev
32201,Mero EPS3,Mero EPS3,Mero EWT DEV,Mero EWT DEV,Mero EWT DEV,Mero EWT DEV,✅,✅,Mero,✅,✅,mero ewt dev,mero ewt dev,Mero EWT DEV,Mero EWT DEV,mero ewt dev,mero ewt dev
36325,Mero-4 HiSEP,Mero-4 HiSEP,Mero 4 Hi-Sep,Mero 4 Hi-Sep,Mero 4 Hi-Sep,Mero 4 Hi-Sep,✅,✅,Mero,✅,✅,mero 4 hi-sep,mero 4 hi-sep,Mero 4 Hi-Sep,Mero 4 Hi-Sep,mero 4 hi-sep,mero 4 hi-sep
38421,Mero-3 HiSEP Pilot,Mero-3 HiSEP Pilot,Mero 3 Hi-Sep,Mero 3 Hi-Sep,Mero 3 Hi-Sep,Mero 3 Hi-Sep,✅,✅,Mero,✅,✅,mero 3 hi-sep,mero 3 hi-sep,Mero 3 Hi-Sep,Mero 3 Hi-Sep,mero 3 hi-sep,mero 3 hi-sep
38423,Mero Post Lease,Mero Post Lease,Mero 1234 Post-Lease DEV,Mero 1234 Post-Lease DEV,Mero 1234 Post-Lease DEV,Mero 1234 Post-Lease DEV,✅,✅,Mero,✅,✅,mero 1234 post-lease dev,mero 1234 post-lease dev,Mero 1234 Post-Lease DEV,Mero 1234 Post-Lease DEV,mero 1234 post-lease dev,mero 1234 post-lease dev
45409,Mero EPS2,Mero EPS2,Libra EWT NFA,Libra EWT NFA,Libra EWT NFA,Libra EWT NFA,✅,✅,Mero,✅,✅,libra ewt nfa,libra ewt nfa,Libra EWT NFA,Libra EWT NFA,libra ewt nfa,libra ewt nfa
51459,Mero-1-NFA,Mero-1-NFA,Mero 1 NFA,Mero 1 NFA,Mero 1 NFA,Mero 1 NFA,✅,✅,Mero,✅,✅,mero 1 nfa,mero 1 nfa,Mero 1 NFA,Mero 1 NFA,mero 1 nfa,mero 1 nfa
51466,Mero-1-Dev,Mero-1-Dev,Mero 1 DEV,Mero 1 DEV,Mero 1 DEV,Mero 1 DEV,✅,✅,Mero,✅,✅,mero 1 dev,mero 1 dev,Mero 1 DEV,Mero 1 DEV,mero 1 dev,mero 1 dev
